code,name,definition,probable_root_cause,required_data,suggested_resolution,responsible_party,escalation,assigned_agent,automation_potential,risk_level
EXC-001,Missing PO,Invoice received without a valid purchase order reference,"Non-PO spend, PO not created, wrong PO referenced","Invoice, supplier, requester history",Obtain PO or process as non-PO per policy,Requester / Procurement,Value >$10K or recurring,"AGT-04, AGT-08",High,Medium
EXC-002,Invalid PO,Referenced PO does not exist or is not valid for this supplier/entity,"Data entry error, wrong PO number, cancelled PO","PO master, invoice, supplier",Verify correct PO; request new PO if needed,Requester / Procurement,Repeat from same requester,"AGT-02, AGT-06",High,Medium
EXC-003,PO Closed,PO is closed but invoice references it,"Late invoice, PO closed prematurely","PO status, invoice date, receipt history",Reopen PO or create new PO per policy,Procurement,Material amount,"AGT-03, AGT-06",Medium,Medium
EXC-004,PO Exhausted,Invoice amount exceeds remaining PO value,"Scope change, partial invoicing, PO underfunded","PO balance, invoice amount",Amend PO or split invoice,Requester / Procurement,Overage >10%,AGT-03,High,Medium
EXC-005,Price Mismatch,Invoice price differs from PO price beyond tolerance,"Price change, wrong PO line, currency issue","Invoice line, PO line, tolerance rules",Verify with supplier; amend PO or accept variance,Procurement / AP,Variance >tolerance,AGT-03,High,Medium
EXC-006,Quantity Mismatch,Invoiced quantity differs from PO/receipt quantity,"Partial delivery, over-billing, unit mismatch","Invoice qty, PO qty, receipt qty",Verify delivery; adjust invoice or receipt,Receiving / AP,Material quantity difference,"AGT-03, AGT-05",High,Medium
EXC-007,Missing Receipt,Goods/services receipt not recorded for PO-based invoice,"Receipt not entered, goods not received, service not confirmed","PO, receipt status, delivery notes",Confirm receipt; enter GR or escalate,Receiving / Requester,>5 business days,AGT-05,High,High
EXC-008,Partial Receipt,Receipt quantity less than invoiced quantity,"Partial delivery, premature invoicing","Receipt qty, invoice qty",Wait for balance or adjust invoice,Receiving,Balance due >30 days,"AGT-05, AGT-03",Medium,Medium
EXC-009,Duplicate Invoice,Exact duplicate of previously processed invoice,"Supplier error, system resubmission","Invoice number, amount, date, supplier",Reject duplicate; request credit if paid,AP,If already paid,AGT-10,High,High
EXC-010,Potential Duplicate,Near-duplicate suggesting possible double billing,"Similar invoice number, amount, date from same supplier","Invoice history, fuzzy match scores",Investigate; confirm with supplier,AP,High confidence match,AGT-10,Medium,High
EXC-011,Wrong Supplier,Invoice from supplier not matching PO or master data,"Supplier acquisition, wrong vendor selected, fraud","Supplier master, PO vendor, invoice header",Verify supplier identity; update master if legitimate,AP / Procurement,Bank detail change involved,"AGT-02, AGT-10",Medium,High
EXC-012,Incorrect Legal Entity,Invoice addressed to wrong company entity,"Multi-entity supplier confusion, wrong entity on PO","Legal entity master, invoice, PO",Reassign to correct entity or reject,AP,Cross-entity payment risk,AGT-02,High,High
EXC-013,Tax Issue,"Tax amount, rate, or registration inconsistent with rules","Wrong tax code, exempt supplier charged tax, cross-border issue","Tax tables, invoice tax lines, supplier tax status",Correct tax coding; request amended invoice if needed,AP / Tax,Material tax variance,AGT-02,Medium,High
EXC-014,Approval Missing,Required approval not obtained per DOA,"Approver unavailable, workflow gap, wrong routing","DOA matrix, approval history, invoice amount",Route to correct approver; obtain approval,Approver / AP,Payment deadline approaching,AGT-07,High,Medium
EXC-015,DOA Issue,Delegation of authority problem preventing approval,"Absent approver, expired delegation, hierarchy gap","DOA matrix, delegation records, org chart",Activate delegation or escalate to backup approver,AP Manager,No backup available,AGT-07,Medium,Medium
EXC-016,Coding Missing,GL/cost centre/project coding not assigned,"Non-PO invoice, unclear spend category","Coding rules, invoice description, requester",Assign coding per policy; confirm with requester,AP / Requester,Month-end approaching,"AGT-02, AGT-09",High,Low
EXC-017,Invalid Cost Centre,"Assigned cost centre closed, invalid, or unauthorised","Org restructure, coding error, expired project","Cost centre master, org structure",Reassign to valid cost centre,Requester / FP&A,Material amount,AGT-02,High,Medium
EXC-018,Invoice Quality,"Invoice document illegible, incomplete, or non-compliant","Poor supplier invoice format, damaged scan","Invoice image, OCR confidence",Request corrected invoice from supplier,AP / Supplier,Repeated from same supplier,AGT-01,Medium,Low
EXC-019,OCR/Extraction Issue,Automated extraction failed or low confidence,"Unusual format, poor scan quality, handwritten elements","OCR output, confidence scores",Manual review and correction,AP,High-volume supplier affected,AGT-01,Low,Low
EXC-020,Master Data Issue,"Supplier, item, or coding master data incorrect or stale","Incomplete onboarding, org changes, data migration","Master data records, change history",Correct master data; reprocess invoice,Master Data / AP,Systemic data quality issue,"AGT-02, AGT-15",Medium,Medium
EXC-021,Banking Change Concern,Supplier bank details changed recently,"Legitimate change, potential fraud, acquisition","Bank master history, supplier verification",Verify change through established protocol,AP / Treasury,Always — mandatory verification,"AGT-10, AGT-12",Low,Critical
EXC-022,Credit Note Required,Invoice should be credited rather than processed,"Duplicate payment, overcharge, return","Payment history, invoice, correspondence",Request credit note; apply against open balance,AP / Supplier,If payment already made,AGT-08,Medium,Medium
EXC-023,Statement Discrepancy,Supplier statement does not match AP records,"Timing difference, missing invoice, payment in transit","Statement, AP sub-ledger, payment history",Reconcile and resolve differences,AP,Material unmatched items,AGT-11,Medium,Medium
EXC-024,Payment Hold,Invoice or supplier on payment hold,"Dispute, compliance, credit hold, audit","Hold reason, hold authority, invoice status",Resolve hold reason; obtain release authority,AP Manager / Treasury,Hold approaching expiry,AGT-12,High,Medium
EXC-025,Disputed Invoice,Invoice under active dispute with supplier,"Quality issue, pricing disagreement, non-delivery","Dispute record, correspondence, PO/receipt",Resolve dispute; process or credit,Procurement / AP,Legal involvement,AGT-08,Low,High
EXC-026,Aged Unresolved Item,Exception open beyond defined SLA,Any unresolved exception exceeding ageing threshold,"Exception age, history, assigned owner",Escalate; executive review if critical,AP Manager,Automatic at SLA breach,"AGT-04, AGT-16",High,High
EXC-027,System/Interface Error,Technical failure in AP system or integration,"ERP outage, interface timeout, data format error","Error logs, interface status",IT resolution; manual processing if urgent,IT / AP,Payment impact,AGT-16,Low,Medium
