customer_id,customer_name,segment,branch
C-001,"Inland Supplies 1",Safety,Adelaide
C-002,"Metro Supplies 2",Electrical,Perth
C-003,"Pro Supplies 3",Electrical,Newcastle
C-004,"Trade Plumbing 4",HVAC,Perth
C-005,"Trade Services 5",HVAC,Brisbane
C-006,"Pro HVAC 6",Plumbing,Sydney
C-007,"Regional HVAC 7",HVAC,Adelaide
C-008,"Inland HVAC 8",HVAC,Newcastle
C-009,"Coastal Trade 9",Electrical,Brisbane
C-010,"North Coast HVAC 10",Plumbing,Perth
C-011,"Metro Services 11",Electrical,Melbourne
C-012,"Trade Wholesale 12",Plumbing,Melbourne
C-013,"Regional Plumbing 13",HVAC,Perth
C-014,"Trade Services 14",Safety,Sydney
C-015,"Alliance Supplies 15",Safety,Sydney
C-016,"North Coast HVAC 16",Electrical,Brisbane
C-017,"Inland Wholesale 17",HVAC,Adelaide
C-018,"Alliance Electrical 18",Industrial,Melbourne
C-019,"Inland Trade 19",HVAC,Newcastle
C-020,"Inland Wholesale 20",Plumbing,Perth
C-021,"Regional Services 21",Electrical,Adelaide
C-022,"Regional Supplies 22",Safety,Adelaide
C-023,"Alliance Wholesale 23",Plumbing,Perth
C-024,"Regional HVAC 24",Industrial,Melbourne
C-025,"Pro Wholesale 25",HVAC,Brisbane
C-026,"Pro HVAC 26",Safety,Melbourne
C-027,"Trade Services 27",Electrical,Brisbane
C-028,"Metro Services 28",Electrical,Melbourne
C-029,"Trade Wholesale 29",Electrical,Adelaide
C-030,"Coastal HVAC 30",Safety,Brisbane
C-031,"North Coast Trade 31",Industrial,Newcastle
C-032,"Alliance Electrical 32",Industrial,Brisbane
C-033,"Metro HVAC 33",Industrial,Adelaide
C-034,"Regional Electrical 34",Electrical,Sydney
C-035,"Metro Wholesale 35",Plumbing,Newcastle
C-036,"Metro Electrical 36",Plumbing,Melbourne
C-037,"Coastal Supplies 37",Plumbing,Adelaide
C-038,"Coastal Plumbing 38",Safety,Melbourne
C-039,"Coastal Services 39",Plumbing,Perth
C-040,"Metro Plumbing 40",Electrical,Melbourne
C-041,"Trade Electrical 41",HVAC,Adelaide
C-042,"Regional HVAC 42",Electrical,Sydney
C-043,"Inland Electrical 43",Plumbing,Brisbane
C-044,"Trade Wholesale 44",Safety,Brisbane
C-045,"Metro Wholesale 45",Plumbing,Newcastle
C-046,"Alliance Supplies 46",HVAC,Perth
C-047,"Pro Electrical 47",Electrical,Perth
C-048,"Alliance Supplies 48",Safety,Newcastle
C-049,"Trade HVAC 49",HVAC,Melbourne
C-050,"Inland Services 50",Industrial,Newcastle
C-051,"Pro Services 51",Safety,Newcastle
C-052,"Inland Plumbing 52",Plumbing,Newcastle
C-053,"Trade Plumbing 53",Safety,Perth
C-054,"Regional Trade 54",HVAC,Brisbane
C-055,"North Coast HVAC 55",Industrial,Adelaide
C-056,"Alliance Wholesale 56",Plumbing,Adelaide
C-057,"Metro Electrical 57",HVAC,Sydney
C-058,"Regional Supplies 58",Plumbing,Adelaide
C-059,"Pro Trade 59",HVAC,Perth
C-060,"Inland Supplies 60",Plumbing,Brisbane
C-061,"Coastal Plumbing 61",Electrical,Sydney
C-062,"Inland Electrical 62",Plumbing,Perth
C-063,"Trade Supplies 63",HVAC,Sydney
C-064,"Metro Wholesale 64",HVAC,Newcastle
C-065,"Coastal Supplies 65",HVAC,Adelaide
C-066,"North Coast Plumbing 66",Electrical,Adelaide
C-067,"Inland HVAC 67",Safety,Adelaide
C-068,"Trade Trade 68",Plumbing,Adelaide
C-069,"Inland Electrical 69",HVAC,Sydney
C-070,"North Coast Electrical 70",Industrial,Adelaide
C-071,"Inland Wholesale 71",HVAC,Brisbane
C-072,"Regional Electrical 72",Safety,Perth
C-073,"Metro Wholesale 73",Safety,Melbourne
C-074,"Inland Wholesale 74",Safety,Adelaide
C-075,"Inland Trade 75",Electrical,Brisbane
C-076,"Pro Supplies 76",Industrial,Perth
C-077,"Inland Wholesale 77",Safety,Adelaide
C-078,"Regional Services 78",Industrial,Newcastle
C-079,"Coastal Wholesale 79",Electrical,Newcastle
C-080,"Coastal Plumbing 80",Plumbing,Newcastle
C-081,"Inland Wholesale 81",Industrial,Sydney
C-082,"Regional Wholesale 82",Plumbing,Melbourne
C-083,"Trade Trade 83",Industrial,Adelaide
C-084,"Metro Trade 84",Safety,Perth
C-085,"Coastal HVAC 85",Plumbing,Newcastle
C-086,"Trade Plumbing 86",Plumbing,Perth
C-087,"Trade Supplies 87",HVAC,Melbourne
C-088,"North Coast HVAC 88",Electrical,Adelaide
C-089,"Pro Services 89",HVAC,Sydney
C-090,"Regional Services 90",Electrical,Newcastle
C-091,"Trade Wholesale 91",Safety,Brisbane
C-092,"North Coast Services 92",Electrical,Brisbane
C-093,"Regional Electrical 93",Industrial,Perth
C-094,"Coastal Services 94",HVAC,Adelaide
C-095,"Trade Wholesale 95",HVAC,Sydney
C-096,"North Coast Plumbing 96",Electrical,Melbourne
C-097,"Alliance Services 97",Safety,Brisbane
C-098,"Trade HVAC 98",Industrial,Adelaide
C-099,"Coastal Electrical 99",Industrial,Perth
C-100,"Metro HVAC 100",Industrial,Brisbane
C-101,"Pro Trade 101",Plumbing,Newcastle
C-102,"Metro Electrical 102",Plumbing,Adelaide
C-103,"Metro Trade 103",Electrical,Sydney
C-104,"Trade Services 104",Plumbing,Melbourne
C-105,"Alliance Supplies 105",Industrial,Sydney
C-106,"Alliance Services 106",Electrical,Sydney
C-107,"Regional Services 107",Industrial,Melbourne
C-108,"Pro Supplies 108",HVAC,Perth
