supplier_id,supplier_name
SUP-001,"Supplier 1"
SUP-002,"Supplier 2"
SUP-003,"Supplier 3"
SUP-004,"Supplier 4"
SUP-005,"Supplier 5"
SUP-006,"Supplier 6"
SUP-007,"Supplier 7"
SUP-008,"Supplier 8"
SUP-009,"Supplier 9"
SUP-010,"Supplier 10"
SUP-011,"Supplier 11"
SUP-012,"Supplier 12"
SUP-013,"Supplier 13"
SUP-014,"Supplier 14"
SUP-015,"Supplier 15"
SUP-016,"Supplier 16"
SUP-017,"Supplier 17"
SUP-018,"Supplier 18"
SUP-019,"Supplier 19"
SUP-020,"Supplier 20"
SUP-021,"Supplier 21"
SUP-022,"Supplier 22"
SUP-023,"Supplier 23"
SUP-024,"Supplier 24"
SUP-025,"Supplier 25"
SUP-026,"Supplier 26"
SUP-027,"Supplier 27"
SUP-028,"Supplier 28"
SUP-029,"Supplier 29"
SUP-030,"Supplier 30"
SUP-031,"Supplier 31"
SUP-032,"Supplier 32"
SUP-033,"Supplier 33"
SUP-034,"Supplier 34"
SUP-035,"Supplier 35"
SUP-036,"Supplier 36"
SUP-037,"Supplier 37"
SUP-038,"Supplier 38"
SUP-039,"Supplier 39"
SUP-040,"Supplier 40"
SUP-041,"Supplier 41"
SUP-042,"Supplier 42"
SUP-043,"Supplier 43"
SUP-044,"Supplier 44"
SUP-045,"Supplier 45"
SUP-046,"Supplier 46"
SUP-047,"Supplier 47"
SUP-048,"Supplier 48"
SUP-049,"Supplier 49"
SUP-050,"Supplier 50"
SUP-051,"Supplier 51"
SUP-052,"Supplier 52"
SUP-053,"Supplier 53"
SUP-054,"Supplier 54"
SUP-055,"Supplier 55"
SUP-056,"Supplier 56"
SUP-057,"Supplier 57"
SUP-058,"Supplier 58"
SUP-059,"Supplier 59"
SUP-060,"Supplier 60"
