invoice_no,invoice_date,customer_id,sku,quantity,list_price,net_sales,branch,rep_id,freight_charged
INV-100000,2025-05-27,C-236,SKU-00002,8,592.00,80.67,Newcastle,R-04,10.64
INV-100001,2025-07-27,C-055,SKU-00016,1,574.00,76.37,Adelaide,R-27,25.56
INV-100002,2024-06-07,C-091,SKU-00037,14,831.00,90.58,Brisbane,R-12,33.67
INV-100003,2025-04-19,C-404,SKU-00003,4,237.00,88.32,Adelaide,R-03,24.90
INV-100004,2024-12-28,C-003,SKU-00041,12,612.00,70.92,Newcastle,R-22,25.09
INV-100005,2025-08-16,C-080,SKU-00051,10,246.00,75.70,Newcastle,R-09,12.01
INV-100006,2025-12-21,C-204,SKU-00058,12,513.00,78.48,Perth,R-01,4.13
INV-100007,2025-10-11,C-012,SKU-00009,13,761.00,72.02,Melbourne,R-07,34.83
INV-100008,2024-07-01,C-006,SKU-00026,20,405.00,79.80,Sydney,R-18,21.32
INV-100009,2025-08-28,C-111,SKU-00008,13,232.00,75.53,Adelaide,R-10,37.28
INV-100010,2024-02-05,C-004,SKU-00044,23,183.00,76.81,Perth,R-22,24.96
INV-100011,2025-11-15,C-137,SKU-00052,15,834.00,73.95,Perth,R-18,27.39
INV-100012,2024-08-28,C-072,SKU-00028,2,722.00,75.76,Perth,R-01,10.25
INV-100013,2025-11-07,C-322,SKU-00009,20,761.00,81.80,Brisbane,R-28,16.96
INV-100014,2024-08-02,C-413,SKU-00003,5,237.00,77.05,Newcastle,R-25,25.01
INV-100015,2025-04-20,C-215,SKU-00020,13,702.00,72.28,Newcastle,R-18,21.48
INV-100016,2024-12-28,C-168,SKU-00005,18,643.00,78.30,Brisbane,R-24,24.66
INV-100017,2025-09-19,C-381,SKU-00043,2,320.00,84.56,Perth,R-16,31.17
INV-100018,2024-11-06,C-196,SKU-00050,5,201.00,80.60,Adelaide,R-28,1.97
INV-100019,2025-05-09,C-267,SKU-00040,22,257.00,79.64,Sydney,R-06,2.64
INV-100020,2024-01-11,C-227,SKU-00014,21,632.00,70.90,Adelaide,R-14,6.79
INV-100021,2024-03-04,C-045,SKU-00037,4,831.00,90.00,Newcastle,R-07,6.87
INV-100022,2025-09-03,C-306,SKU-00003,10,237.00,72.40,Brisbane,R-01,25.21
INV-100023,2024-06-07,C-178,SKU-00054,21,714.00,72.03,Newcastle,R-02,21.67
INV-100024,2024-02-16,C-058,SKU-00057,7,143.00,77.28,Adelaide,R-23,44.29
INV-100025,2024-02-20,C-134,SKU-00032,23,60.00,90.62,Melbourne,R-23,27.09
INV-100026,2024-05-02,C-397,SKU-00033,20,111.00,77.80,Melbourne,R-05,16.17
INV-100027,2024-12-09,C-084,SKU-00023,16,115.00,85.76,Perth,R-05,14.04
INV-100028,2025-06-14,C-363,SKU-00027,19,107.00,72.01,Perth,R-18,8.99
INV-100029,2024-05-18,C-245,SKU-00013,20,52.00,82.40,Perth,R-17,43.53
INV-100030,2025-11-23,C-288,SKU-00001,21,569.00,71.68,Newcastle,R-13,25.29
INV-100031,2025-10-25,C-228,SKU-00012,10,822.00,70.80,Perth,R-23,43.53
INV-100032,2024-05-09,C-030,SKU-00029,20,291.00,73.80,Brisbane,R-24,13.39
INV-100033,2025-06-18,C-257,SKU-00022,23,477.00,72.68,Brisbane,R-20,29.98
INV-100034,2025-05-09,C-086,SKU-00038,22,427.00,88.44,Perth,R-20,29.36
INV-100035,2025-07-28,C-164,SKU-00041,2,612.00,82.20,Perth,R-09,5.08
INV-100036,2025-10-17,C-043,SKU-00041,13,612.00,82.42,Brisbane,R-01,30.39
INV-100037,2025-12-04,C-293,SKU-00051,22,246.00,75.90,Adelaide,R-16,36.31
INV-100038,2025-08-08,C-174,SKU-00007,9,284.00,79.65,Brisbane,R-20,3.88
INV-100039,2025-03-23,C-032,SKU-00041,10,612.00,90.50,Brisbane,R-21,29.42
INV-100040,2024-07-24,C-293,SKU-00019,8,357.00,79.41,Adelaide,R-15,5.76
INV-100041,2024-01-12,C-413,SKU-00025,9,345.00,88.65,Newcastle,R-05,2.82
INV-100042,2024-03-16,C-176,SKU-00046,23,711.00,71.99,Sydney,R-03,1.38
INV-100043,2025-06-17,C-124,SKU-00050,15,201.00,83.10,Adelaide,R-21,25.68
INV-100044,2025-05-19,C-352,SKU-00022,8,477.00,70.48,Melbourne,R-26,27.88
INV-100045,2024-01-02,C-419,SKU-00006,15,428.00,70.80,Brisbane,R-17,6.70
INV-100046,2024-11-25,C-405,SKU-00041,8,612.00,75.92,Brisbane,R-14,42.52
INV-100047,2024-07-22,C-052,SKU-00024,20,208.00,79.20,Newcastle,R-19,4.50
INV-100048,2025-04-05,C-323,SKU-00050,22,201.00,87.78,Brisbane,R-10,29.07
INV-100049,2024-02-21,C-073,SKU-00028,24,722.00,78.24,Melbourne,R-08,0.30
INV-100050,2024-06-25,C-363,SKU-00032,1,60.00,81.89,Perth,R-19,19.06
INV-100051,2024-11-15,C-180,SKU-00018,14,268.00,86.38,Brisbane,R-04,5.70
INV-100052,2024-05-05,C-100,SKU-00018,10,268.00,74.20,Brisbane,R-11,12.88
INV-100053,2024-03-14,C-129,SKU-00058,20,513.00,86.00,Adelaide,R-08,12.19
INV-100054,2025-08-02,C-247,SKU-00025,15,345.00,72.15,Sydney,R-07,36.50
INV-100055,2024-06-12,C-299,SKU-00042,17,292.00,72.08,Brisbane,R-25,13.04
INV-100056,2025-01-25,C-077,SKU-00042,2,292.00,83.30,Adelaide,R-23,9.78
INV-100057,2024-09-16,C-252,SKU-00056,12,481.00,79.20,Brisbane,R-24,35.86
INV-100058,2024-02-28,C-339,SKU-00005,18,643.00,74.52,Adelaide,R-17,7.26
INV-100059,2024-09-11,C-098,SKU-00047,18,371.00,88.02,Adelaide,R-14,3.46
INV-100060,2024-10-20,C-023,SKU-00042,16,292.00,82.28,Perth,R-10,25.44
INV-100061,2024-06-04,C-038,SKU-00030,22,439.00,78.10,Melbourne,R-21,14.39
INV-100062,2024-02-02,C-183,SKU-00048,9,553.00,76.32,Perth,R-26,31.94
INV-100063,2025-12-09,C-159,SKU-00014,4,632.00,85.16,Melbourne,R-02,30.11
INV-100064,2024-11-23,C-104,SKU-00041,13,612.00,86.45,Melbourne,R-21,38.75
INV-100065,2024-04-15,C-419,SKU-00051,7,246.00,78.68,Brisbane,R-06,3.66
INV-100066,2025-02-24,C-192,SKU-00049,24,840.00,87.60,Newcastle,R-17,7.39
INV-100067,2024-08-05,C-162,SKU-00019,14,357.00,76.72,Perth,R-28,15.38
INV-100068,2025-05-11,C-126,SKU-00001,22,569.00,82.94,Perth,R-21,2.70
INV-100069,2024-10-22,C-383,SKU-00017,2,69.00,78.24,Perth,R-11,41.49
INV-100070,2025-10-23,C-126,SKU-00032,18,60.00,77.00,Perth,R-17,40.84
INV-100071,2024-06-10,C-377,SKU-00046,6,711.00,72.48,Newcastle,R-11,2.33
