agent_id,name,purpose,human_owner,default_autonomy_level,risk_level,primary_kpis
AGT-01,Invoice Intake Agent,"Review incoming invoices for completeness, extraction quality, and downstream suitability.",AP Operations Lead,0 - Observe,Medium,"Extraction confidence rate, intake cycle time, misroute rate"
AGT-02,Invoice Validation Agent,Validate invoice header and line data against business rules and master data.,AP Manager,0 - Observe,Medium,"Validation accuracy, false-positive rate, field-level error rate"
AGT-03,Matching Agent,"Perform PO, price, quantity, and receipt matching with tolerance analysis.",AP Manager,0 - Observe,High,"Match rate, auto-match rate, variance detection accuracy"
AGT-04,Exception Triage Agent,Classify every AP exception into taxonomy and recommend next action.,AP Operations Lead,0 - Observe,Medium,"Classification accuracy, triage time, priority accuracy"
AGT-05,Goods Receipt Agent,Identify missing receipts and prepare internal follow-ups.,Procurement / Receiving Lead,0 - Observe,Medium,"Receipt resolution rate, follow-up response time, GRNI reduction"
AGT-06,PO Quality Agent,Identify poor PO creation practices driving downstream AP exceptions.,Procurement Manager,0 - Observe,Low,"PO-related exception rate reduction, repeat offender identification"
AGT-07,Approval Agent,Monitor approval workflows and identify bottlenecks.,AP Manager,0 - Observe,Medium,"Approval cycle time, escalation rate, on-time approval rate"
AGT-08,Supplier Resolution Agent,Draft supplier communications for invoice-related issues.,AP Team Lead,0 - Observe,Medium,"Supplier response rate, resolution time, communication quality score"
AGT-09,Internal Follow-Up Agent,Draft and manage internal follow-ups for AP exceptions.,AP Operations Lead,0 - Observe,Low,"Internal response rate, resolution time, repeat follow-up rate"
AGT-10,Duplicate & Anomaly Agent,Identify duplicate invoices and payment anomalies. Not a fraud guarantee.,AP Manager / Internal Audit liaison,0 - Observe,High,"Duplicate detection rate, false-positive rate, payments reviewed"
AGT-11,Vendor Statement Reconciliation Agent,Reconcile supplier statements against AP sub-ledger.,AP Reconciliation Lead,0 - Observe,Medium,"Reconciliation completion rate, discrepancy resolution time"
AGT-12,Payment Proposal Review Agent,Analytical pre-payment review. Payment authorisation remains human-controlled.,Treasury / AP Manager,0 - Observe,Critical,"Review completion rate, issues caught pre-payment, false hold rate"
AGT-13,AP Close Agent,Support month-end AP completeness and accrual activities.,AP Manager / Controller,0 - Observe,High,"Close cycle time, open item count at close, accrual accuracy"
AGT-14,AP Reporting Agent,"Produce daily, weekly, and monthly AP operational reports.",AP Manager,0 - Observe,Low,"Report delivery timeliness, data accuracy, stakeholder satisfaction"
AGT-15,Root Cause Agent,Analyse recurring exceptions to identify systemic causes.,Process Excellence / AP Manager,0 - Observe,Low,"Repeat exception rate reduction, root cause identification accuracy"
AGT-16,AP Manager / Orchestrator Agent,Supervisory layer across the agent workforce.,Head of AP / Finance Transformation,0 - Observe,High,"Overall AP throughput, agent utilisation, SLA compliance, cost per outcome"
