agent_id,agent_name,risk,control,control_type,human_owner,evidence,frequency,escalation_trigger
AGT-01,Invoice Intake Agent,Incorrect automated decision,Mandatory human approval for actions above Level 1,Preventive,AP Operations Lead,Approval log + audit trail,Per transaction,Unapproved action attempted
AGT-01,Invoice Intake Agent,Data privacy breach,Least-privilege data access; PII masking,Preventive,IT Security / AP Operations Lead,Access review records,Quarterly,Unauthorized data access detected
AGT-01,Invoice Intake Agent,Model drift / accuracy degradation,Performance monitoring against KPI thresholds,Detective,AP Operations Lead,Performance scorecard,Weekly,KPI below threshold for 2 consecutive periods
AGT-02,Invoice Validation Agent,Incorrect automated decision,Mandatory human approval for actions above Level 1,Preventive,AP Manager,Approval log + audit trail,Per transaction,Unapproved action attempted
AGT-02,Invoice Validation Agent,Data privacy breach,Least-privilege data access; PII masking,Preventive,IT Security / AP Manager,Access review records,Quarterly,Unauthorized data access detected
AGT-02,Invoice Validation Agent,Model drift / accuracy degradation,Performance monitoring against KPI thresholds,Detective,AP Manager,Performance scorecard,Weekly,KPI below threshold for 2 consecutive periods
AGT-03,Matching Agent,Incorrect automated decision,Mandatory human approval for actions above Level 1,Preventive,AP Manager,Approval log + audit trail,Per transaction,Unapproved action attempted
AGT-03,Matching Agent,Data privacy breach,Least-privilege data access; PII masking,Preventive,IT Security / AP Manager,Access review records,Quarterly,Unauthorized data access detected
AGT-03,Matching Agent,Model drift / accuracy degradation,Performance monitoring against KPI thresholds,Detective,AP Manager,Performance scorecard,Weekly,KPI below threshold for 2 consecutive periods
AGT-04,Exception Triage Agent,Incorrect automated decision,Mandatory human approval for actions above Level 1,Preventive,AP Operations Lead,Approval log + audit trail,Per transaction,Unapproved action attempted
AGT-04,Exception Triage Agent,Data privacy breach,Least-privilege data access; PII masking,Preventive,IT Security / AP Operations Lead,Access review records,Quarterly,Unauthorized data access detected
AGT-04,Exception Triage Agent,Model drift / accuracy degradation,Performance monitoring against KPI thresholds,Detective,AP Operations Lead,Performance scorecard,Weekly,KPI below threshold for 2 consecutive periods
AGT-05,Goods Receipt Agent,Incorrect automated decision,Mandatory human approval for actions above Level 1,Preventive,Procurement / Receiving Lead,Approval log + audit trail,Per transaction,Unapproved action attempted
AGT-05,Goods Receipt Agent,Data privacy breach,Least-privilege data access; PII masking,Preventive,IT Security / Procurement / Receiving Lead,Access review records,Quarterly,Unauthorized data access detected
AGT-05,Goods Receipt Agent,Model drift / accuracy degradation,Performance monitoring against KPI thresholds,Detective,Procurement / Receiving Lead,Performance scorecard,Weekly,KPI below threshold for 2 consecutive periods
AGT-06,PO Quality Agent,Incorrect automated decision,Mandatory human approval for actions above Level 1,Preventive,Procurement Manager,Approval log + audit trail,Per transaction,Unapproved action attempted
AGT-06,PO Quality Agent,Data privacy breach,Least-privilege data access; PII masking,Preventive,IT Security / Procurement Manager,Access review records,Quarterly,Unauthorized data access detected
AGT-06,PO Quality Agent,Model drift / accuracy degradation,Performance monitoring against KPI thresholds,Detective,Procurement Manager,Performance scorecard,Weekly,KPI below threshold for 2 consecutive periods
