question_id,category,question,score_1,score_2,score_3,score_4,score_5
Q01,Process,What percentage of invoices are processed without human touch (straight-through)?,0-20%,21-40%,41-60%,61-80%,81-100%
Q02,Process,Average days to process a single invoice from receipt to posting?,>15 days,10-15 days,5-10 days,2-5 days,<2 days
Q03,Process,What is your approximate invoice exception rate?,>25%,15-25%,10-15%,5-10%,<5%
Q04,Process,Percentage of invoices matched to a purchase order?,<40%,40-60%,60-75%,75-90%,>90%
Q05,Process,How are invoices primarily received?,Paper/mail,Email PDF,Supplier portal,EDI/e-invoice,Mixed channels
Q06,Technology,Do you have AP automation software deployed?,No,Pilot/evaluating,Partial (1-2 processes),Most processes,End-to-end automated
Q07,Technology,Is OCR/AI extraction in use for invoice data capture?,No,Evaluating,Basic OCR,ML-enhanced OCR,AI with continuous learning
Q08,Technology,ERP system in use?,Legacy/on-prem,Cloud ERP (single),Cloud ERP (multi-entity),ERP + AP automation,Fully integrated stack
Q09,Data,How would you rate supplier master data quality?,Poor,Below average,Adequate,Good,Excellent
Q10,Data,How would you rate PO data quality and discipline?,Poor,Below average,Adequate,Good,Excellent
Q11,Governance,Is there a defined AI/automation governance framework in Finance?,No,Informal,Draft/in development,Approved but not enforced,Fully operational
Q12,Governance,Are agent/automation responsibilities formally defined with owners?,No,Partially,For some processes,Most processes,All processes
Q13,Governance,Do you measure automation/agent performance with defined KPIs?,No,Ad hoc,Some metrics,Defined KPIs,KPIs with targets and review
Q14,People,AP team willingness to adopt AI-assisted workflows?,Resistant,Cautious,Neutral,Positive,Championing
Q15,People,Is there executive sponsorship for AP transformation?,No,Informal interest,Sponsored project,Funded initiative,Strategic priority
Q16,Controls,Segregation of duties defined for AP automation?,No,Partially,Documented,Enforced,Audited regularly
Q17,Controls,Audit trail requirements for automated decisions understood?,No,Partially,Documented,Implemented,Tested and certified
Q18,Volume,Monthly invoice volume?,<500,"500-2,000","2,000-10,000","10,000-50,000",">50,000"
Q19,Volume,Number of active suppliers?,<100,100-500,"500-2,000","2,000-10,000",">10,000"
Q20,Volume,Number of legal entities AP supports?,1,2-5,6-15,16-50,>50
Q21,Complexity,Percentage of non-PO invoices?,>60%,40-60%,20-40%,10-20%,<10%
Q22,Complexity,Multi-line invoice frequency?,Rare,Occasional,Common,Most invoices,Nearly all
Q23,Complexity,Cross-border / multi-currency invoice volume?,<10%,10-25%,25-50%,50-75%,>75%
Q24,Opportunity,Biggest AP pain point today?,Manual data entry,Exception resolution,Approval bottlenecks,Supplier issues,Reporting/visibility
Q25,Opportunity,Where would AI agents deliver most value first?,Invoice capture,Matching,Exception triage,Approvals,Reporting/analytics
Q26,Economics,Estimated cost to process one invoice (all-in)?,>$12,$8-12,$5-8,$3-5,<$3
Q27,Economics,AP headcount dedicated to invoice processing?,>20 FTE,10-20 FTE,5-10 FTE,2-5 FTE,<2 FTE
Q28,Economics,Have you built a business case for AP automation/AI?,No,Informal estimate,Draft,Approved,Realised benefits tracked
Q29,Readiness,API/integration access to ERP AP module available?,No,Read-only,Limited write,Full API,Event-driven integration
Q30,Readiness,Historical invoice data available for agent testing?,No,<6 months,6-12 months,1-3 years,>3 years
