sku,effective_date,supplier_net_cost,inbound_freight
SKU-00001,2024-01-01,352.78,2.50
SKU-00001,2024-07-01,403.99,2.80
SKU-00002,2024-01-01,367.04,2.50
SKU-00002,2024-07-01,420.32,2.80
SKU-00003,2024-01-01,146.94,2.50
SKU-00003,2024-07-01,168.27,2.80
SKU-00004,2024-01-01,210.80,2.50
SKU-00004,2024-07-01,241.40,2.80
SKU-00005,2024-01-01,398.66,2.50
SKU-00005,2024-07-01,456.53,2.80
SKU-00006,2024-01-01,265.36,2.50
SKU-00006,2024-07-01,303.88,2.80
SKU-00007,2024-01-01,176.08,2.50
SKU-00007,2024-07-01,201.64,2.80
SKU-00008,2024-01-01,143.84,2.50
SKU-00008,2024-07-01,164.72,2.80
SKU-00009,2024-01-01,471.82,2.50
SKU-00009,2024-07-01,540.31,2.80
SKU-00010,2024-01-01,16.74,2.50
SKU-00010,2024-07-01,19.17,2.80
SKU-00011,2024-01-01,38.44,2.50
SKU-00011,2024-07-01,44.02,2.80
SKU-00012,2024-01-01,509.64,2.50
SKU-00012,2024-07-01,583.62,2.80
SKU-00013,2024-01-01,32.24,2.50
SKU-00013,2024-07-01,36.92,2.80
SKU-00014,2024-01-01,391.84,2.50
SKU-00014,2024-07-01,448.72,2.80
SKU-00015,2024-01-01,205.84,2.50
SKU-00015,2024-07-01,235.72,2.80
SKU-00016,2024-01-01,355.88,2.50
SKU-00016,2024-07-01,407.54,2.80
SKU-00017,2024-01-01,42.78,2.50
SKU-00017,2024-07-01,48.99,2.80
SKU-00018,2024-01-01,166.16,2.50
SKU-00018,2024-07-01,190.28,2.80
SKU-00019,2024-01-01,221.34,2.50
SKU-00019,2024-07-01,253.47,2.80
SKU-00020,2024-01-01,435.24,2.50
SKU-00020,2024-07-01,498.42,2.80
SKU-00021,2024-01-01,280.86,2.50
SKU-00021,2024-07-01,321.63,2.80
SKU-00022,2024-01-01,295.74,2.50
SKU-00022,2024-07-01,338.67,2.80
SKU-00023,2024-01-01,71.30,2.50
SKU-00023,2024-07-01,81.65,2.80
SKU-00024,2024-01-01,128.96,2.50
SKU-00024,2024-07-01,147.68,2.80
SKU-00025,2024-01-01,213.90,2.50
SKU-00025,2024-07-01,244.95,2.80
SKU-00026,2024-01-01,251.10,2.50
SKU-00026,2024-07-01,287.55,2.80
SKU-00027,2024-01-01,66.34,2.50
SKU-00027,2024-07-01,75.97,2.80
SKU-00028,2024-01-01,447.64,2.50
SKU-00028,2024-07-01,512.62,2.80
SKU-00029,2024-01-01,180.42,2.50
SKU-00029,2024-07-01,206.61,2.80
SKU-00030,2024-01-01,272.18,2.50
SKU-00030,2024-07-01,311.69,2.80
SKU-00031,2024-01-01,208.32,2.50
SKU-00031,2024-07-01,238.56,2.80
SKU-00032,2024-01-01,37.20,2.50
SKU-00032,2024-07-01,42.60,2.80
SKU-00033,2024-01-01,68.82,2.50
SKU-00033,2024-07-01,78.81,2.80
SKU-00034,2024-01-01,132.68,2.50
SKU-00034,2024-07-01,151.94,2.80
SKU-00035,2024-01-01,354.02,2.50
SKU-00035,2024-07-01,405.41,2.80
SKU-00036,2024-01-01,138.88,2.50
SKU-00036,2024-07-01,159.04,2.80
SKU-00037,2024-01-01,515.22,2.50
SKU-00037,2024-07-01,590.01,2.80
SKU-00038,2024-01-01,264.74,2.50
SKU-00038,2024-07-01,303.17,2.80
SKU-00039,2024-01-01,126.48,2.50
SKU-00039,2024-07-01,144.84,2.80
SKU-00040,2024-01-01,159.34,2.50
SKU-00040,2024-07-01,182.47,2.80
SKU-00041,2024-01-01,379.44,2.50
SKU-00041,2024-07-01,434.52,2.80
SKU-00042,2024-01-01,181.04,2.50
SKU-00042,2024-07-01,207.32,2.80
SKU-00043,2024-01-01,198.40,2.50
SKU-00043,2024-07-01,227.20,2.80
SKU-00044,2024-01-01,113.46,2.50
SKU-00044,2024-07-01,129.93,2.80
SKU-00045,2024-01-01,521.42,2.50
SKU-00045,2024-07-01,597.11,2.80
SKU-00046,2024-01-01,440.82,2.50
SKU-00046,2024-07-01,504.81,2.80
SKU-00047,2024-01-01,230.02,2.50
SKU-00047,2024-07-01,263.41,2.80
SKU-00048,2024-01-01,342.86,2.50
SKU-00048,2024-07-01,392.63,2.80
SKU-00049,2024-01-01,520.80,2.50
SKU-00049,2024-07-01,596.40,2.80
SKU-00050,2024-01-01,124.62,2.50
SKU-00050,2024-07-01,142.71,2.80
SKU-00051,2024-01-01,152.52,2.50
SKU-00051,2024-07-01,174.66,2.80
SKU-00052,2024-01-01,517.08,2.50
SKU-00052,2024-07-01,592.14,2.80
SKU-00053,2024-01-01,365.18,2.50
SKU-00053,2024-07-01,418.19,2.80
SKU-00054,2024-01-01,442.68,2.50
SKU-00054,2024-07-01,506.94,2.80
SKU-00055,2024-01-01,435.86,2.50
SKU-00055,2024-07-01,499.13,2.80
SKU-00056,2024-01-01,298.22,2.50
SKU-00056,2024-07-01,341.51,2.80
SKU-00057,2024-01-01,88.66,2.50
SKU-00057,2024-07-01,101.53,2.80
SKU-00058,2024-01-01,318.06,2.50
SKU-00058,2024-07-01,364.23,2.80
