claim_id,claim,figure,unit,source,publisher,date,url,context,independence,use_in_customer_pdf,notes
AP-001,Average all-inclusive cost to process one invoice,9.40,USD,The State of ePayables 2024: Money Never Sleeps,Ardent Partners,2024-05,https://www.medius.com/media/fvzk13ia/ardent-partners-state-of-epayables-2024-medius-final.pdf,Survey of 212 AP professionals; all-inclusive staff and operating cost,independent_research_vendor_underwritten,yes,Medius underwrote distribution; Ardent states sponsor had no measurable influence on research content
AP-002,Average time to process one invoice,9.15,days,The State of ePayables 2024,Ardent Partners,2024-05,https://www.medius.com/media/fvzk13ia/ardent-partners-state-of-epayables-2024-medius-final.pdf,Same survey vintage as AP-001,independent_research_vendor_underwritten,yes,
AP-003,Average invoice exception rate,14.0,percent,The State of ePayables 2024,Ardent Partners,2024-05,https://www.medius.com/media/fvzk13ia/ardent-partners-state-of-epayables-2024-medius-final.pdf,Share of invoices flagged as exceptions,independent_research_vendor_underwritten,yes,Do not blend with AP-007; different report cut
AP-004,Invoices processed straight-through,32.6,percent,The State of ePayables 2024,Ardent Partners,2024-05,https://www.medius.com/media/fvzk13ia/ardent-partners-state-of-epayables-2024-medius-final.pdf,STP share,independent_research_vendor_underwritten,yes,
AP-005,Suppliers submitting invoices electronically,48.8,percent,The State of ePayables 2024,Ardent Partners,2024-05,https://www.medius.com/media/fvzk13ia/ardent-partners-state-of-epayables-2024-medius-final.pdf,Supplier e-invoice enablement,independent_research_vendor_underwritten,yes,
AP-006,Invoices linked to a purchase order,61.0,percent,The State of ePayables 2024,Ardent Partners,2024-05,https://www.medius.com/media/fvzk13ia/ardent-partners-state-of-epayables-2024-medius-final.pdf,PO coverage,independent_research_vendor_underwritten,yes,
AP-007,Invoice exception rate in AP Metrics that Matter 2024,20.7,percent,The AP Metrics that Matter in 2024,Ardent Partners / Basware distribution,2024,https://cdn.brandfolder.io/DEX9HZEN/at/7w3pbq5xccr7xrt8txt67p7f/Ardent_Partners_-_AP_Metrics_that_Matter_in_2024.pdf,Different Ardent cut; roughly one in five invoices excepted,independent_research_vendor_distributed,yes_with_range,Show as range 14–21% with vintage; do not average
AP-008,Average cost to process an invoice (Metrics that Matter),9.87,USD,The AP Metrics that Matter in 2024,Ardent Partners,2024,https://cdn.brandfolder.io/DEX9HZEN/at/7w3pbq5xccr7xrt8txt67p7f/Ardent_Partners_-_AP_Metrics_that_Matter_in_2024.pdf,All-inclusive; notes decade-ago cost >$13,independent_research_vendor_distributed,yes_with_range,
AP-009,Best-in-Class invoice processing cost,2.78,USD,The State of ePayables 2024,Ardent Partners,2024-05,https://www.medius.com/media/fvzk13ia/ardent-partners-state-of-epayables-2024-medius-final.pdf,Top 20% by cost and cycle time,independent_research_vendor_underwritten,yes,
AP-010,All-other invoice processing cost (vs Best-in-Class),12.88,USD,The State of ePayables 2024,Ardent Partners,2024-05,https://www.medius.com/media/fvzk13ia/ardent-partners-state-of-epayables-2024-medius-final.pdf,Peer group versus Best-in-Class,independent_research_vendor_underwritten,yes,
AP-011,Best-in-Class cycle time,3.1,days,The State of ePayables 2024,Ardent Partners,2024-05,https://www.medius.com/media/fvzk13ia/ardent-partners-state-of-epayables-2024-medius-final.pdf,Versus 17.4 days for others,independent_research_vendor_underwritten,yes,
AP-012,Best-in-Class exception rate,9.0,percent,The State of ePayables 2024,Ardent Partners,2024-05,https://www.medius.com/media/fvzk13ia/ardent-partners-state-of-epayables-2024-medius-final.pdf,Versus 22.0% peers in that cut,independent_research_vendor_underwritten,yes,
AP-013,Staff time managing supplier inquiries,21.8,percent,The State of ePayables 2024,Ardent Partners,2024-05,https://www.medius.com/media/fvzk13ia/ardent-partners-state-of-epayables-2024-medius-final.pdf,Share of AP staff time,independent_research_vendor_underwritten,yes,
AP-014,Average invoice processing cost circa 2025/26 Ardent commentary,9.84,USD,State of ePayables Part Nine: AP Benchmarks and Best-in-Class Performance,Ardent Partners Payables Place,2026-01,https://payablesplace.ardentpartners.com/2026/01/state-of-epayables-part-nine-ap-benchmarks-and-best-in-class-performance/,Later vintage; notes wage inflation vs faster cycle times,independent_research,yes_with_date,
AP-015,Average invoice processing time circa 2025/26,8.2,days,State of ePayables Part Nine,Ardent Partners Payables Place,2026-01,https://payablesplace.ardentpartners.com/2026/01/state-of-epayables-part-nine-ap-benchmarks-and-best-in-class-performance/,Later vintage than 9.15 days,independent_research,yes_with_date,
AP-016,Average exception rate circa 2025/26,18.4,percent,State of ePayables Part Nine,Ardent Partners Payables Place,2026-01,https://payablesplace.ardentpartners.com/2026/01/state-of-epayables-part-nine-ap-benchmarks-and-best-in-class-performance/,Exceptions remain primary drag on other benchmarks,independent_research,yes_with_range,
