sku,description,product_group,list_price
SKU-00001,"Safety item 1",Plumbing,569.00
SKU-00002,"Safety item 2",Industrial,592.00
SKU-00003,"Plumbing item 3",Electrical,237.00
SKU-00004,"Safety item 4",HVAC,340.00
SKU-00005,"Industrial item 5",HVAC,643.00
SKU-00006,"Industrial item 6",Plumbing,428.00
SKU-00007,"HVAC item 7",Electrical,284.00
SKU-00008,"Safety item 8",Safety,232.00
SKU-00009,"Safety item 9",HVAC,761.00
SKU-00010,"Industrial item 10",Industrial,27.00
SKU-00011,"Safety item 11",HVAC,62.00
SKU-00012,"HVAC item 12",Electrical,822.00
SKU-00013,"Safety item 13",Electrical,52.00
SKU-00014,"HVAC item 14",Safety,632.00
SKU-00015,"Safety item 15",Safety,332.00
SKU-00016,"Safety item 16",Safety,574.00
SKU-00017,"HVAC item 17",Industrial,69.00
SKU-00018,"Plumbing item 18",Plumbing,268.00
SKU-00019,"Plumbing item 19",Electrical,357.00
SKU-00020,"HVAC item 20",Industrial,702.00
SKU-00021,"Industrial item 21",Industrial,453.00
SKU-00022,"Industrial item 22",Plumbing,477.00
SKU-00023,"HVAC item 23",Electrical,115.00
SKU-00024,"Electrical item 24",HVAC,208.00
SKU-00025,"HVAC item 25",Safety,345.00
SKU-00026,"Industrial item 26",Industrial,405.00
SKU-00027,"Safety item 27",Safety,107.00
SKU-00028,"Safety item 28",Safety,722.00
SKU-00029,"HVAC item 29",Plumbing,291.00
SKU-00030,"Plumbing item 30",Industrial,439.00
SKU-00031,"Electrical item 31",Industrial,336.00
SKU-00032,"Plumbing item 32",HVAC,60.00
SKU-00033,"HVAC item 33",Plumbing,111.00
SKU-00034,"Safety item 34",Electrical,214.00
SKU-00035,"Plumbing item 35",HVAC,571.00
SKU-00036,"HVAC item 36",HVAC,224.00
SKU-00037,"Industrial item 37",Industrial,831.00
SKU-00038,"Electrical item 38",Electrical,427.00
SKU-00039,"HVAC item 39",Safety,204.00
SKU-00040,"HVAC item 40",HVAC,257.00
SKU-00041,"Electrical item 41",Plumbing,612.00
SKU-00042,"Electrical item 42",Electrical,292.00
SKU-00043,"Electrical item 43",Safety,320.00
SKU-00044,"HVAC item 44",HVAC,183.00
SKU-00045,"Industrial item 45",Electrical,841.00
SKU-00046,"HVAC item 46",Plumbing,711.00
SKU-00047,"Industrial item 47",Industrial,371.00
SKU-00048,"Safety item 48",HVAC,553.00
SKU-00049,"Industrial item 49",Industrial,840.00
SKU-00050,"Safety item 50",Safety,201.00
SKU-00051,"Safety item 51",Electrical,246.00
SKU-00052,"Electrical item 52",HVAC,834.00
SKU-00053,"Plumbing item 53",HVAC,589.00
SKU-00054,"Plumbing item 54",Electrical,714.00
SKU-00055,"Industrial item 55",HVAC,703.00
SKU-00056,"Safety item 56",Plumbing,481.00
SKU-00057,"Plumbing item 57",HVAC,143.00
SKU-00058,"Plumbing item 58",HVAC,513.00
